month,gini_commits_month,total_commits_month,n_authors_month,owner_repo
2022-01,0.5,9,1,Conflux-Chain/conflux-evm-bridge
2022-02,0.5,15,1,Conflux-Chain/conflux-evm-bridge
2022-03,0.40909090909090917,22,2,Conflux-Chain/conflux-evm-bridge
2022-04,0.5,1,1,Conflux-Chain/conflux-evm-bridge
2022-05,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2022-06,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2022-07,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2022-08,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2022-09,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2022-10,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2022-11,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2022-12,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-01,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-02,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-03,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-04,0.5,9,1,Conflux-Chain/conflux-evm-bridge
2023-05,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-06,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-07,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-08,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-09,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-10,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-11,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2023-12,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-01,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-02,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-03,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-04,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-05,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-06,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-07,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-08,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-09,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-10,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2024-11,0.5,1,1,Conflux-Chain/conflux-evm-bridge
2024-12,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-01,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-02,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-03,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-04,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-05,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-06,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-07,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-08,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-09,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-10,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-11,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2025-12,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2026-01,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2026-02,0.0,0,0,Conflux-Chain/conflux-evm-bridge
2019-01,0.75,16,1,iExecBlockchainComputing/iexec-solidity
2019-02,0.75,3,1,iExecBlockchainComputing/iexec-solidity
2019-03,0.75,2,1,iExecBlockchainComputing/iexec-solidity
2019-04,0.0,0,0,iExecBlockchainComputing/iexec-solidity
2019-05,0.75,2,1,iExecBlockchainComputing/iexec-solidity
2019-06,0.75,11,1,iExecBlockchainComputing/iexec-solidity
2019-07,0.75,2,1,iExecBlockchainComputing/iexec-solidity
2019-08,0.0,0,0,iExecBlockchainComputing/iexec-solidity
2019-09,0.0,0,0,iExecBlockchainComputing/iexec-solidity
2019-10,0.75,5,1,iExecBlockchainComputing/iexec-solidity
2019-11,0.75,12,1,iExecBlockchainComputing/iexec-solidity
2019-12,0.0,0,0,iExecBlockchainComputing/iexec-solidity
2020-01,0.75,12,1,iExecBlockchainComputing/iexec-solidity
2020-02,0.75,8,1,iExecBlockchainComputing/iexec-solidity
2020-03,0.75,16,1,iExecBlockchainComputing/iexec-solidity
2020-04,0.75,11,1,iExecBlockchainComputing/iexec-solidity
2020-05,0.75,10,1,iExecBlockchainComputing/iexec-solidity
2020-06,0.0,0,0,iExecBlockchainComputing/iexec-solidity
2020-07,0.0,0,0,iExecBlockchainComputing/iexec-solidity
2020-08,0.75,2,1,iExecBlockchainComputing/iexec-solidity
