total_commits,n_authors,gini_commits,hhi_commits,top1_share,top5_share,top10_share,bus_factor_80pct,owner_repo
57,2,0.4649122807017543,0.9322868574946137,0.9649122807017544,1.0,1.0,1,Conflux-Chain/conflux-evm-bridge
120,4,0.7125,0.9037499999999999,0.95,1.0,1.0,1,iExecBlockchainComputing/iexec-solidity
180,21,0.7513227513227514,0.41030864197530864,0.6277777777777778,0.8388888888888889,0.9166666666666666,4,status-im/nimqml
137,7,0.4942648592283629,0.26879428845436626,0.41605839416058393,0.948905109489051,1.0,3,axieinfinity/bridge-v2
77,9,0.6204906204906204,0.3398549502445606,0.5324675324675324,0.922077922077922,1.0,3,dfinity/hardware-wallet-cli
5,2,0.10000000000000009,0.52,0.6,1.0,1.0,2,tezos/tezos-explorer
7,1,0.0,1.0,1.0,1.0,1.0,1,Consensys/react-ethereum
84,8,0.6041666666666666,0.33758503401360546,0.5238095238095238,0.9523809523809523,1.0,3,cartesi/machine-tests
32,4,0.34375,0.345703125,0.46875,1.0,1.0,3,maticnetwork/maticjs-ethers
20,8,0.4,0.205,0.35,0.85,1.0,4,duneanalytics/dune-v1-abstractions
55,3,0.35151515151515156,0.4737190082644628,0.5818181818181818,1.0,1.0,2,MetaMask/snaps-simulator
74,27,0.5055055055055055,0.1004382761139518,0.21621621621621623,0.5945945945945946,0.7432432432432432,13,curvefi/curve-external-integrations
12,3,0.4444444444444445,0.5972222222222222,0.75,1.0,1.0,2,status-im/nim-eth-contracts
4,2,0.25,0.625,0.75,1.0,1.0,2,thetatoken/theta-nft-demo
21,2,0.45238095238095233,0.909297052154195,0.9523809523809523,1.0,1.0,1,coti-io/cvi-contracts
85,14,0.5252100840336135,0.1645674740484429,0.32941176470588235,0.7411764705882353,0.9529411764705882,6,MetaMask/json-rpc-middleware-stream
32,3,0.3125,0.470703125,0.5,1.0,1.0,2,smartcontractkit/hello_chainlink
9,1,0.0,1.0,1.0,1.0,1.0,1,crytic/amarna-action
395,11,0.703337169159954,0.3108283928857555,0.4759493670886076,0.9645569620253165,0.9974683544303797,3,paritytech/command-bot
295,18,0.6871939736346516,0.20142487790864694,0.3525423728813559,0.8338983050847457,0.9491525423728814,5,MetaMask/snap-simple-keyring
101,9,0.616061606160616,0.29810802862464464,0.42574257425742573,0.9306930693069307,1.0,3,solana-labs/metaplex
14,1,0.0,1.0,1.0,1.0,1.0,1,solana-labs/rust-bpf-builder
36,12,0.4259259259259259,0.14969135802469136,0.2777777777777778,0.7222222222222222,0.9444444444444444,7,fetchai/genesis-launch
16,4,0.375,0.390625,0.5625,1.0,1.0,3,ethereum/go-build
59,3,0.3163841807909605,0.4691180695202528,0.5084745762711864,1.0,1.0,2,decred/dcrseeder
111,17,0.5405405405405406,0.13334956578199822,0.24324324324324326,0.6936936936936937,0.9279279279279279,7,maidsafe/xor_name
8,2,0.0,0.5,0.5,1.0,1.0,2,algorand/tealviewer
268,12,0.6983830845771144,0.27472711071508127,0.4141791044776119,0.9440298507462687,0.9925373134328358,3,ethereum/asyncio-cancel-token
846,67,0.6829328534631806,0.058048164355694154,0.11347517730496454,0.4716312056737589,0.6773049645390071,18,smartcontractkit/operator-ui
14,4,0.5357142857142857,0.6326530612244897,0.7857142857142857,1.0,1.0,2,ChainSafe/ethermint-deploy
38,2,0.44736842105263164,0.9002770083102491,0.9473684210526315,1.0,1.0,1,ewasm/sentinel-rs
408,14,0.726890756302521,0.2558030565167243,0.33578431372549017,0.9485294117647058,0.9901960784313726,3,hyperledger/indy-besu
1132,27,0.7010862452558565,0.15107723907153292,0.2588339222614841,0.7111307420494699,0.8860424028268551,8,rocket-pool/RPIPs
27,2,0.462962962962963,0.9286694101508914,0.9629629629629629,1.0,1.0,1,iotaledger/iota-identity-tutorial
40,5,0.33000000000000007,0.2825,0.425,1.0,1.0,3,cosmos/registry
5,2,0.30000000000000004,0.6800000000000002,0.8,1.0,1.0,1,nanocurrency/nano-whitepaper
8,1,0.0,1.0,1.0,1.0,1.0,1,MetaMask/menpo
388,58,0.7012086740135087,0.12967637368476992,0.32216494845360827,0.595360824742268,0.7371134020618557,15,ethereumclassic/classic-guide
345,10,0.7515942028985507,0.4627179164041168,0.6521739130434783,0.9710144927536232,1.0,2,qtumproject/qtum-bitcore
397,18,0.6925552756787013,0.2251203928709655,0.3904282115869018,0.8438287153652393,0.9345088161209067,5,hyperledger/firefly-evmconnect
19,4,0.5921052631578947,0.7174515235457063,0.8421052631578947,1.0,1.0,1,compound-finance/compound-governance
658,56,0.7205275727312203,0.07278665200801913,0.13069908814589665,0.5212765957446809,0.7462006079027356,12,dashpay/bls-signatures
132,18,0.5875420875420876,0.15140036730945824,0.30303030303030304,0.7424242424242424,0.9090909090909091,7,icon-project/devportal
330,6,0.6909090909090909,0.5113682277318642,0.6242424242424243,0.996969696969697,1.0,2,rocket-pool/rocketpool-js
152,14,0.5620300751879699,0.16481994459833793,0.2631578947368421,0.8092105263157895,0.9539473684210527,5,energywebfoundation/challenge
84,12,0.41865079365079366,0.12981859410430838,0.19047619047619047,0.75,0.9761904761904762,6,hyperledger/aries-framework-go-ext
69,9,0.4895330112721417,0.2014282713715606,0.30434782608695654,0.9130434782608695,1.0,4,decred/dcrtimegui
1,1,0.0,1.0,1.0,1.0,1.0,1,bittorrent/torrent-web-tools
31,5,0.5161290322580645,0.413111342351717,0.4838709677419355,1.0,1.0,2,nervosnetwork/ckb-production-scripts
205,3,0.5788617886178863,0.7971683521713266,0.8878048780487805,1.0,1.0,1,solana-labs/example-move
35,1,0.0,1.0,1.0,1.0,1.0,1,0xProject/0x-debug
44,1,0.0,1.0,1.0,1.0,1.0,1,paritytech/as-substrate
154,20,0.5155844155844156,0.09782425366840951,0.18181818181818182,0.6103896103896104,0.8831168831168831,9,celo-org/celo-oracle
235,8,0.5792553191489361,0.2800724309642372,0.3659574468085106,0.9659574468085106,1.0,3,fetchai/mettalex-market-maker
10,2,0.10000000000000009,0.52,0.6,1.0,1.0,2,steemit/steem-uri-spec
333,22,0.6591591591591591,0.17872827782737694,0.3663663663663664,0.7147147147147147,0.9009009009009009,7,Synthetixio/synthetix-website
212,11,0.5797598627787307,0.2829743681025276,0.49528301886792453,0.839622641509434,0.9952830188679245,5,gatechain/gatechain-docs
327,9,0.8474345905538567,0.8821086889431304,0.9388379204892966,0.9877675840978594,1.0,1,dfinity/node-motoko
22,1,0.0,1.0,1.0,1.0,1.0,1,gnosis/pydkg
115,5,0.47304347826086957,0.349413988657845,0.4782608695652174,1.0,1.0,3,Consensys/eventsea
77,6,0.6948051948051948,0.6245572609208974,0.7792207792207793,0.987012987012987,1.0,2,makerdao/dss-charter
2020,30,0.6541584158415842,0.09769091265562199,0.1905940594059406,0.6222772277227723,0.844059405940594,9,input-output-hk/catalyst-voices
3,1,0.0,1.0,1.0,1.0,1.0,1,ethereum/solidity.js
147,2,0.4931972789115646,0.9864871118515433,0.9931972789115646,1.0,1.0,1,Consensys/simple-token-sale
4,2,0.25,0.625,0.75,1.0,1.0,2,Consensys/hyperledger-besu-ethers
40,5,0.65,0.6537500000000002,0.8,1.0,1.0,1,prysmaticlabs/gohashtree
112,2,0.4553571428571428,0.9147002551020409,0.9553571428571429,1.0,1.0,1,icon-project/java-score-examples
15,2,0.30000000000000004,0.6800000000000002,0.8,1.0,1.0,1,stratisproject/HashLib
58,3,0.6091954022988505,0.8697978596908442,0.9310344827586207,1.0,1.0,1,HorizenOfficial/zenchat
28,4,0.6428571428571429,0.8010204081632654,0.8928571428571429,1.0,1.0,1,makerdao/dss-lite-psm
272,34,0.6338667820069204,0.09161440311418684,0.17279411764705882,0.6213235294117647,0.8125,10,flashbots/flashbots-writings-website
69,9,0.644122383252818,0.34635580760344464,0.4782608695652174,0.927536231884058,1.0,2,OpenZeppelin/chai-bn
557,13,0.8656262947106753,0.7076026030704369,0.8348294434470377,0.9820466786355476,0.9946140035906643,1,scaffold-eth/buidlguidl-v3
1,1,0.0,1.0,1.0,1.0,1.0,1,matter-labs/z-prize-msm-gpu-combined
39,6,0.5341880341880342,0.34253780407626566,0.46153846153846156,0.9743589743589743,1.0,3,ethereumjs/node-devp2p-dpt
