_language,n,med_gini,mean_gini,med_hhi,mean_hhi,med_bus,med_authors,med_stars
JavaScript,68,0.5793108256983085,0.5502585239775315,0.44476402276369154,0.4905743271627938,2.0,8.5,29.5
TypeScript,68,0.6764501980758348,0.6062829344927633,0.31193986335753393,0.3967182049606553,3.0,11.0,33.5
Go,33,0.6925552756787013,0.646732331145094,0.2687942884543662,0.33217811909397854,3.0,14.0,57.0
Rust,28,0.7144895230098383,0.6846309486046298,0.2892488610138144,0.37312220544019903,3.0,13.5,51.5
Python,24,0.6420703140641476,0.5074186725920147,0.2854148984557239,0.412912738118227,3.0,11.0,40.0
Solidity,23,0.5792553191489361,0.4959050474483912,0.5543523531861725,0.5689007773336345,2.0,5.0,39.0
C++,7,0.6573359073359073,0.6310566982954111,0.4591836734693877,0.38607840657620285,2.0,10.0,82.0
HTML,7,0.7541454497976237,0.6457139958027309,0.2292935657774977,0.38327664648624415,4.0,27.0,25.0
Java,7,0.7585654819084213,0.7246552122023171,0.3191163804662286,0.3695520978067427,4.0,18.0,24.0
C#,5,0.800310184485644,0.6923285118932648,0.260207756232687,0.41588002916573696,3.0,11.0,134.0
Shell,5,0.5985221674876848,0.49559607382068416,0.4601183431952662,0.5226674802813951,2.0,7.0,35.0
