owner_repo,shannon_entropy,normalized_entropy,max_entropy,n_active_authors
Conflux-Chain/conflux-evm-bridge,0.2192973081321754,0.2192973081321754,1.0,2
iExecBlockchainComputing/iexec-solidity,0.34897841548534736,0.17448920774267368,2.0,4
status-im/nimqml,2.32369644193046,0.5290365468305326,4.392317422778761,21
axieinfinity/bridge-v2,2.20360398762575,0.7849395779321893,2.807354922057604,7
dfinity/hardware-wallet-cli,2.1156982206899855,0.6674284785057518,3.169925001442312,9
tezos/tezos-explorer,0.9709505944546686,0.9709505944546686,1.0,2
Consensys/react-ethereum,-0.0,0.0,0.0,1
cartesi/machine-tests,2.049657705512931,0.683219235170977,3.0,8
maticnetwork/maticjs-ethers,1.705241238830056,0.852620619415028,2.0,4
duneanalytics/dune-v1-abstractions,2.6016094970590276,0.8672031656863425,3.0,8
MetaMask/snaps-simulator,1.2142060880717376,0.7660787479320648,1.584962500721156,3
curvefi/curve-external-integrations,3.9826587202477226,0.8375926283083706,4.754887502163468,27
status-im/nim-eth-contracts,1.040852082972755,0.6567045482143385,1.584962500721156,3
thetatoken/theta-nft-demo,0.8112781244591328,0.8112781244591328,1.0,2
coti-io/cvi-contracts,0.2761954276479391,0.2761954276479391,1.0,2
MetaMask/json-rpc-middleware-stream,3.0891831361478883,0.8113725143539823,3.807354922057604,14
smartcontractkit/hello_chainlink,1.168645033308507,0.737332922877844,1.584962500721156,3
crytic/amarna-action,-0.0,0.0,0.0,1
paritytech/command-bot,2.1134528063908773,0.6109248684104316,3.4594316186372973,11
MetaMask/snap-simple-keyring,2.8847820290817583,0.6918066939055156,4.169925001442312,18
solana-labs/metaplex,2.1617954455303696,0.6819705338601876,3.169925001442312,9
solana-labs/rust-bpf-builder,-0.0,0.0,0.0,1
fetchai/genesis-launch,3.1247679762911926,0.8716319837829851,3.584962500721156,12
ethereum/go-build,1.6225562489182659,0.8112781244591329,2.0,4
decred/dcrseeder,1.1777501607742276,0.7430776187060278,1.584962500721156,3
maidsafe/xor_name,3.348600641879844,0.8192369623733436,4.087462841250339,17
algorand/tealviewer,1.0,1.0,1.0,2
ethereum/asyncio-cancel-token,2.2649795947929494,0.6318000800112478,3.584962500721156,12
smartcontractkit/operator-ui,4.769319233158036,0.7862263615675792,6.066089190457772,67
ChainSafe/ethermint-deploy,1.0892300788425848,0.5446150394212924,2.0,4
ewasm/sentinel-rs,0.2974722489192896,0.2974722489192896,1.0,2
hyperledger/indy-besu,2.3053503698120674,0.6054992027289617,3.807354922057604,14
rocket-pool/RPIPs,3.367887118661304,0.7083000632778208,4.754887502163468,27
iotaledger/iota-identity-tutorial,0.228538143953528,0.228538143953528,1.0,2
cosmos/registry,2.0021821646358067,0.8622929233012848,2.321928094887362,5
nanocurrency/nano-whitepaper,0.7219280948873623,0.7219280948873623,1.0,2
MetaMask/menpo,-0.0,0.0,0.0,1
ethereumclassic/classic-guide,4.188551680279759,0.7150162630714617,5.857980995127572,58
qtumproject/qtum-bitcore,1.658580232745402,0.49928240027171333,3.321928094887362,10
hyperledger/firefly-evmconnect,2.8025330630588012,0.6720823664908718,4.169925001442312,18
compound-finance/compound-governance,0.8795064608120065,0.4397532304060032,2.0,4
dashpay/bls-signatures,4.345698441820387,0.7483094283275978,5.807354922057604,56
icon-project/devportal,3.275160458603037,0.7854243079840069,4.169925001442312,18
rocket-pool/rocketpool-js,1.143881753759423,0.4425138675862035,2.584962500721156,6
energywebfoundation/challenge,3.016268892730507,0.7922216222228182,3.807354922057604,14
hyperledger/aries-framework-go-ext,3.1650927595060567,0.8828802975956825,3.584962500721156,12
decred/dcrtimegui,2.562579382454845,0.8084037891397665,3.169925001442312,9
bittorrent/torrent-web-tools,-0.0,0.0,0.0,1
nervosnetwork/ckb-production-scripts,1.5119680758719727,0.6511692068333921,2.321928094887362,5
solana-labs/example-move,0.5812886494001248,0.3667523043199061,1.584962500721156,3
0xProject/0x-debug,-0.0,0.0,0.0,1
paritytech/as-substrate,-0.0,0.0,0.0,1
celo-org/celo-oracle,3.6803457909237767,0.8515518329139841,4.321928094887363,20
fetchai/mettalex-market-maker,2.0835155237187384,0.6945051745729128,3.0,8
