owner_repo,login,commits,additions,deletions,loc_churn,net_additions,tenure_weeks,active_weeks,span_weeks,consistency,addition_ratio,first_active_ts,last_active_ts
0xbitcoin/EIP918-Mineable-Token,ethereumdegen,5,78870,11015,89885,67855,1,1,1,1.0,0.8774545252266785,1521331200,1521331200
0xbitcoin/EIP918-Mineable-Token,10d9e,19,421,288,709,133,4,4,4,1.0,0.5937940761636107,1520121600,1521936000
0xProject/0x-debug,dekz,35,24835,9434,34269,15401,56,14,56,0.25,0.7247074615541743,1549152000,1582416000
0xsequence/erc-1155,fj,1,2,2,4,0,1,1,1,1.0,0.5,1567296000,1567296000
0xsequence/erc-1155,alexanderatallah,3,49,55,104,-6,2,2,2,1.0,0.47115384615384615,1570924800,1571529600
0xsequence/erc-1155,dependabot[bot],8,92,46,138,46,24,4,24,0.16666666666666666,0.6666666666666666,1630195200,1644105600
0xsequence/erc-1155,acrylix,11,449126,452216,901342,-3090,152,6,152,0.039473684210526314,0.4982858892628991,1589068800,1680393600
0xsequence/erc-1155,ScreamingHawk,14,444,25342,25786,-24898,91,5,91,0.054945054945054944,0.017218645776778098,1678579200,1733011200
0xsequence/erc-1155,pkieltyka,41,356455,330982,687437,25473,230,13,230,0.05652173913043478,0.5185275159760094,1529798400,1668297600
0xsequence/erc-1155,PhABC,195,56066,31484,87550,24582,230,60,230,0.2608695652173913,0.6403883495145631,1529798400,1668297600
0xsequence/go-ethauth,PhABC,1,3,3,6,0,1,1,1,1.0,0.5,1622332800,1622332800
0xsequence/go-ethauth,attente,2,247,155,402,92,1,1,1,1.0,0.6144278606965174,1613260800,1613260800
0xsequence/go-ethauth,pkieltyka,38,2848,1934,4782,914,281,17,281,0.060498220640569395,0.5955667084901715,1564876800,1734220800
aave/aave-stake-v2,eboadom,1,31500,0,31500,31500,1,1,1,1.0,1.0,1607212800,1607212800
aave/aave-stake-v2,miguelmtzinf,3,26787,6815,33602,19972,33,3,33,0.09090909090909091,0.7971846913874174,1671321600,1690675200
aave/aave-stake-v2,The-3D,3,2699,1183,3882,1516,13,2,13,0.15384615384615385,0.6952601751674394,1612656000,1619913600
aave/aave-stake-v2,kartojal,24,8353,5626,13979,2727,83,3,83,0.03614457831325301,0.5975391658916946,1619308800,1668902400
aave/protocol-subgraphs,claude,1,5088,5969,11057,-881,1,1,1,1.0,0.46016098399204125,1770508800,1770508800
aave/protocol-subgraphs,absis,1,20,0,20,20,1,1,1,1.0,1.0,1757808000,1757808000
aave/protocol-subgraphs,D363N6UY,1,482,6477,6959,-5995,1,1,1,1.0,0.06926282511855152,1664064000,1664064000
aave/protocol-subgraphs,damarnez,1,592,16,608,576,1,1,1,1.0,0.9736842105263158,1614470400,1614470400
aave/protocol-subgraphs,eboadom,1,0,134,134,-134,1,1,1,1.0,0.0,1610841600,1610841600
aave/protocol-subgraphs,ronlv10,2,3756,6486,10242,-2730,43,2,43,0.046511627906976744,0.3667252489748096,1664064000,1689465600
aave/protocol-subgraphs,kyzia551,4,10054,22,10076,10032,11,3,11,0.2727272727272727,0.9978165938864629,1610841600,1616889600
aave/protocol-subgraphs,sakulstra,16,495,339,834,156,79,8,79,0.10126582278481013,0.5935251798561151,1613260800,1660435200
aave/protocol-subgraphs,defispartan,30,5096,7492,12588,-2396,123,21,123,0.17073170731707318,0.40482999682237053,1649548800,1723334400
