owner_repo,n_contributors,gini_commits,gini_loc,hhi_loc,top1_share_loc,gini_additions,gini_deletions,total_additions,total_deletions,total_loc_churn,median_tenure_weeks,max_tenure_weeks,median_consistency,retention_6m,one_timer_fraction,_language,_age_weeks,_stars,category
0xbitcoin/EIP918-Mineable-Token,2,0.2916666666666667,0.49217387464953527,0.9844702457750729,0.9921738746495353,0.49469044406048607,0.4745200389277183,79291,11303,90594,2.5,4,1.0,1.0,0.5,JavaScript,311,20,
0xsequence/erc-1155,7,0.6949241234955521,0.6992124467137112,0.4462740733334893,0.5294658418514052,0.7012209811125186,0.6971541207460301,862234,840127,1702361,91.0,230,0.16666666666666666,0.14285714285714285,0.14285714285714285,TypeScript,296,313,tools
0xsequence/go-ethauth,3,0.6016260162601627,0.6134874759152216,0.8549553944334927,0.9213872832369943,0.6122229395308801,0.6153601019757807,3098,2092,5190,1.0,281,1.0,0.3333333333333333,0.6666666666666666,Go,237,18,tools
aave/aave-stake-v2,4,0.5564516129032258,0.3214716198787411,0.3387875073406865,0.40502392632860434,0.3779871356667965,0.45669406928948914,69339,13624,82963,23.0,83,0.12237762237762238,0.25,0.25,Solidity,167,51,aave
aave/protocol-subgraphs,11,0.7388429752066116,0.6851572109885842,0.3735760810828795,0.5832236345195192,0.7438150459333467,0.6559283370191117,112307,73049,185356,11.0,155,0.3548387096774194,0.2727272727272727,0.45454545454545453,TypeScript,161,101,aave
AElfProject/aelf-wallet-ios,4,0.28076923076923077,0.7008867433579841,0.8456395894666769,0.916786496850178,0.7132276603633667,0.5521671134941912,53940,4476,58416,8.5,29,0.75,1.0,0.0,Swift,209,20,aelf
AElfProject/AElf,57,0.800310184485644,,,,,,0,0,0,9.0,336,0.7777777777777778,0.03508771929824561,0.17543859649122806,C#,325,806,aelf
alchemix-finance/v2-contracts,3,0.5454545454545454,0.665493172389464,0.9964889829091905,0.9982414016733548,0.6645763016438527,0.6666649207980465,3413120,2672977,6086097,7.0,12,0.5,1.0,0.3333333333333333,TypeScript,102,26,ethereum
algorand/conduit,14,0.6938775510204082,0.7515939962773751,0.2976706947667775,0.47134766939923173,0.7572896467987169,0.7598689660365991,15766,9485,25251,6.0,136,0.7279411764705883,0.14285714285714285,0.42857142857142855,Go,50,33,algorand
algorand/go-algorand,99,0.7597143597143597,0.7909019042124376,0.05756425739443443,0.15767654868300698,0.7693573949208721,0.8624378871390586,3893015,1870721,5763736,42.0,336,0.35135135135135137,0.13131313131313133,0.23232323232323232,Go,245,1304,algorand
algorand/tealviewer,2,0.0,0.4924624853053039,0.9850385988661534,0.9924624853053039,0.4940018347329052,0.41724137931034483,14171,290,14461,62.0,85,0.056108597285067875,0.5,0.0,JavaScript,223,11,algorand
Ankr-network/ankr.js,15,0.6787878787878788,0.8046408393866021,0.38205634523272103,0.5680992736077481,0.8020926756352765,0.8255741775294848,2230,1074,3304,1.0,102,1.0,0.06666666666666667,0.7333333333333333,TypeScript,100,31,ankr
aragon/client,69,0.8312326710496047,0.8823999857729795,0.20249755813882833,0.4139027928588033,0.8734060109086694,0.90399844072372,206064,133767,339831,1.0,221,1.0,0.028985507246376812,0.5942028985507246,JavaScript,364,824,tools
axieinfinity/bridge-v2,7,0.4942648592283629,0.7659816039091693,0.7060755911854426,0.8350729376257545,0.7442400486410267,0.7991884770203204,44172,35348,79520,37.0,92,0.25,0.42857142857142855,0.0,Go,96,11,blockchain
bancorprotocol/webapp,18,0.8150842266462481,0.7987332168328096,0.2799338259605099,0.45721536796208645,0.7945755955264275,0.8478879461500276,207818,121985,329803,4.5,60,0.95,0.3333333333333333,0.2777777777777778,TypeScript,185,32,bancor
bandprotocol/bandchain.js,2,0.3387096774193548,0.4918252481158176,0.9837841493683712,0.9918252481158176,0.4903483502438653,0.49449044714626167,446763,247570,694333,37.5,42,0.23917748917748918,1.0,0.0,JavaScript,178,21,band-protocol
btcpayserver/btcTransmuter,11,0.8780046990782577,0.888129858083102,0.8234332719245503,0.9039306054059927,0.9024085417393883,0.8760116844143486,273719,204935,478654,1.0,144,1.0,0.09090909090909091,0.6363636363636364,C#,262,76,
btcpayserver/dockerfile-deps,31,0.7892970352414693,0.8824464928205505,0.5801469487765459,0.7558211285874397,0.8480955986598182,0.9610621802711337,52742,26667,79409,5.0,379,0.4,0.2903225806451613,0.45161290322580644,Dockerfile,273,26,
btcpayserver/whmcs-plugin,11,0.6593939393939394,0.8161483906164757,0.5343969696617954,0.7062193126022913,0.7833772507685551,0.8445952057892356,1656,2010,3666,1.0,152,1.0,0.09090909090909091,0.5454545454545454,PHP,303,20,
